"Age","Year","Year Code","Gender","Gender Code","Deaths","Population","Crude Rate"
"'0-8","1999","1999","Female","F",0,17336775,0
"'0-8","1999","1999","Male","M",0,18175160,0
"'0-8","2000","2000","Female","F",0,17310264,0
"'0-8","2000","2000","Male","M",0,18147719,0
"'0-8","2001","2001","Female","F",0,17234779,0
"'0-8","2001","2001","Male","M",0,18057570,0
"'0-8","2002","2002","Female","F",0,17190143,0
"'0-8","2002","2002","Male","M",0,17992620,0
"'0-8","2003","2003","Female","F",0,17187698,0
"'0-8","2003","2003","Male","M",0,17981334,0
"'0-8","2004","2004","Female","F",0,17219002,0
"'0-8","2004","2004","Male","M",0,18002386,0
"'0-8","2005","2005","Female","F",0,17279519,0
"'0-8","2005","2005","Male","M",0,18059879,0
"'0-8","2006","2006","Female","F",0,17399286,0
"'0-8","2006","2006","Male","M",0,18182531,0
"'0-8","2007","2007","Female","F",0,17578614,0
"'0-8","2007","2007","Male","M",0,18365071,0
"'0-8","2008","2008","Female","F",0,17751389,0
"'0-8","2008","2008","Male","M",0,18535987,0
"'0-8","2009","2009","Female","F",0,17831233,0
"'0-8","2009","2009","Male","M",0,18608720,0
"'0-8","2010","2010","Female","F",0,17812297,0
"'0-8","2010","2010","Male","M",0,18589369,0
"'0-8","2011","2011","Female","F",0,17837009,0
"'0-8","2011","2011","Male","M",0,18624260,0
"'0-8","2012","2012","Female","F",0,17809650,0
"'0-8","2012","2012","Male","M",0,18601293,0
"'0-8","2013","2013","Female","F",0,17769223,0
"'0-8","2013","2013","Male","M",0,18566111,0
"'0-8","2014","2014","Female","F",0,17752732,0
"'0-8","2014","2014","Male","M",0,18536885,0
"'0-8","2015","2015","Female","F",0,17735838,0
"'0-8","2015","2015","Male","M",1,18525055,0
"'0-8","2016","2016","Female","F",0,17695230,0
"'0-8","2016","2016","Male","M",0,18483082,0
"'9-12","1999","1999","Female","F",4,8009178,0
"'9-12","1999","1999","Male","M",12,8415636,0
"'9-12","2000","2000","Female","F",1,8159391,0
"'9-12","2000","2000","Male","M",16,8572920,0
"'9-12","2001","2001","Female","F",1,8286130,0
"'9-12","2001","2001","Male","M",12,8699217,0
"'9-12","2002","2002","Female","F",3,8310737,0
"'9-12","2002","2002","Male","M",15,8727996,0
"'9-12","2003","2003","Female","F",2,8214505,0
"'9-12","2003","2003","Male","M",14,8621836,0
"'9-12","2004","2004","Female","F",0,8133659,0
"'9-12","2004","2004","Male","M",5,8538297,0
"'9-12","2005","2005","Female","F",3,8057680,0
"'9-12","2005","2005","Male","M",12,8459901,0
"'9-12","2006","2006","Female","F",2,7987757,0
"'9-12","2006","2006","Male","M",12,8373952,0
"'9-12","2007","2007","Female","F",0,7945430,0
"'9-12","2007","2007","Male","M",9,8325670,0
"'9-12","2008","2008","Female","F",0,7924916,0
"'9-12","2008","2008","Male","M",8,8296982,0
"'9-12","2009","2009","Female","F",2,7961796,0
"'9-12","2009","2009","Male","M",7,8335539,0
"'9-12","2010","2010","Female","F",2,8082451,0
"'9-12","2010","2010","Male","M",12,8459101,0
"'9-12","2011","2011","Female","F",0,8061232,0
"'9-12","2011","2011","Male","M",19,8427607,0
"'9-12","2012","2012","Female","F",2,8052287,0
"'9-12","2012","2012","Male","M",13,8409342,0
"'9-12","2013","2013","Female","F",2,8020833,0
"'9-12","2013","2013","Male","M",18,8367553,0
"'9-12","2014","2014","Female","F",9,8020436,0
"'9-12","2014","2014","Male","M",29,8356076,0.3
"'9-12","2015","2015","Female","F",0,8073059,0
"'9-12","2015","2015","Male","M",18,8413143,0
"'9-12","2016","2016","Female","F",4,8123472,0
"'9-12","2016","2016","Male","M",28,8469851,0.3
"'13-16","1999","1999","Female","F",62,7769449,0.8
"'13-16","1999","1999","Male","M",283,8208627,3.4
"'13-16","2000","2000","Female","F",60,7810229,0.8
"'13-16","2000","2000","Male","M",293,8247277,3.6
"'13-16","2001","2001","Female","F",57,7966586,0.7
"'13-16","2001","2001","Male","M",204,8398157,2.4
"'13-16","2002","2002","Female","F",43,8068508,0.5
"'13-16","2002","2002","Male","M",218,8497863,2.6
"'13-16","2003","2003","Female","F",39,8248178,0.5
"'13-16","2003","2003","Male","M",188,8686894,2.2
"'13-16","2004","2004","Female","F",35,8394975,0.4
"'13-16","2004","2004","Male","M",200,8842108,2.3
"'13-16","2005","2005","Female","F",33,8489603,0.4
"'13-16","2005","2005","Male","M",227,8937578,2.5
"'13-16","2006","2006","Female","F",37,8514994,0.4
"'13-16","2006","2006","Male","M",189,8967701,2.1
"'13-16","2007","2007","Female","F",30,8420407,0.4
"'13-16","2007","2007","Male","M",161,8863168,1.8
"'13-16","2008","2008","Female","F",31,8343886,0.4
"'13-16","2008","2008","Male","M",186,8784382,2.1
"'13-16","2009","2009","Female","F",36,8269122,0.4
"'13-16","2009","2009","Male","M",213,8706416,2.4
"'13-16","2010","2010","Female","F",40,8209441,0.5
"'13-16","2010","2010","Male","M",204,8633513,2.4
"'13-16","2011","2011","Female","F",44,8125834,0.5
"'13-16","2011","2011","Male","M",236,8527479,2.8
"'13-16","2012","2012","Female","F",41,8100722,0.5
"'13-16","2012","2012","Male","M",249,8489092,2.9
"'13-16","2013","2013","Female","F",48,8142867,0.6
"'13-16","2013","2013","Male","M",282,8528097,3.3
"'13-16","2014","2014","Female","F",61,8181006,0.7
"'13-16","2014","2014","Male","M",294,8551777,3.4
"'13-16","2015","2015","Female","F",67,8172547,0.8
"'13-16","2015","2015","Male","M",301,8531183,3.5
"'13-16","2016","2016","Female","F",83,8159783,1
"'13-16","2016","2016","Male","M",319,8505866,3.8
"'17-19","1999","1999","Female","F",65,5900186,1.1
"'17-19","1999","1999","Male","M",652,6224959,10.5
"'17-19","2000","2000","Female","F",63,5948170,1.1
"'17-19","2000","2000","Male","M",574,6277295,9.1
"'17-19","2001","2001","Female","F",58,5928610,1
"'17-19","2001","2001","Male","M",596,6335492,9.4
"'17-19","2002","2002","Female","F",46,5981298,0.8
"'17-19","2002","2002","Male","M",503,6404235,7.9
"'17-19","2003","2003","Female","F",47,6041635,0.8
"'17-19","2003","2003","Male","M",520,6443736,8.1
"'17-19","2004","2004","Female","F",73,6117485,1.2
"'17-19","2004","2004","Male","M",533,6506442,8.2
"'17-19","2005","2005","Female","F",56,6172074,0.9
"'17-19","2005","2005","Male","M",491,6549026,7.5
"'17-19","2006","2006","Female","F",33,6263384,0.5
"'17-19","2006","2006","Male","M",490,6634813,7.4
"'17-19","2007","2007","Female","F",36,6437909,0.6
"'17-19","2007","2007","Male","M",447,6813162,6.6
"'17-19","2008","2008","Female","F",36,6556102,0.5
"'17-19","2008","2008","Male","M",487,6924620,7
"'17-19","2009","2009","Female","F",54,6608325,0.8
"'17-19","2009","2009","Male","M",488,6959240,7
"'17-19","2010","2010","Female","F",37,6570774,0.6
"'17-19","2010","2010","Male","M",454,6910610,6.6
"'17-19","2011","2011","Female","F",51,6431411,0.8
"'17-19","2011","2011","Male","M",500,6810317,7.3
"'17-19","2012","2012","Female","F",68,6336738,1.1
"'17-19","2012","2012","Male","M",488,6705676,7.3
"'17-19","2013","2013","Female","F",62,6255059,1
"'17-19","2013","2013","Male","M",465,6598344,7
"'17-19","2014","2014","Female","F",49,6212029,0.8
