"Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Gender","Gender Code","Deaths","Population","Crude Rate"
"2012","2012","5-14 years","5-14","Female","F",14,20118347,"Unreliable"
"2012","2012","5-14 years","5-14","Male","M",91,21026407,0.4
"2012","2012","15-24 years","15-24","Female","F",242,21431588,1.1
"2012","2012","15-24 years","15-24","Male","M",1976,22512317,8.8
"2012","2012","25-34 years","25-34","Female","F",395,20970529,1.9
"2012","2012","25-34 years","25-34","Male","M",2365,21338792,11.1
"2012","2012","35-44 years","35-44","Female","F",485,20342813,2.4
"2012","2012","35-44 years","35-44","Male","M",2439,20173607,12.1
"2012","2012","45-54 years","45-54","Female","F",721,22461868,3.2
"2012","2012","45-54 years","45-54","Male","M",3392,21806870,15.6
"2012","2012","55-64 years","55-64","Female","F",493,19983308,2.5
"2012","2012","55-64 years","55-64","Male","M",3254,18602894,17.5
"2012","2012","65-74 years","65-74","Female","F",247,12782530,1.9
"2012","2012","65-74 years","65-74","Male","M",2046,11202862,18.3
"2012","2012","75-84 years","75-84","Female","F",114,7624484,1.5
"2012","2012","75-84 years","75-84","Male","M",1624,5648150,28.8
"2012","2012","85+ years","85+","Female","F",44,3923297,1.1
"2012","2012","85+ years","85+","Male","M",721,1964033,36.7
"2012","2012","Not Stated","NS","Female","F",1,"Not Applicable","Not Applicable"
"2012","2012","Not Stated","NS","Male","M",2,"Not Applicable","Not Applicable"
"2013","2013","5-14 years","5-14","Female","F",22,20159538,0.1
"2013","2013","5-14 years","5-14","Male","M",116,21061497,0.6
"2013","2013","15-24 years","15-24","Female","F",273,21429247,1.3
"2013","2013","15-24 years","15-24","Male","M",1937,22525155,8.6
"2013","2013","25-34 years","25-34","Female","F",421,21203096,2
"2013","2013","25-34 years","25-34","Male","M",2476,21641491,11.4
"2013","2013","35-44 years","35-44","Female","F",473,20307429,2.3
"2013","2013","35-44 years","35-44","Male","M",2475,20145261,12.3
"2013","2013","45-54 years","45-54","Female","F",704,22198448,3.2
"2013","2013","45-54 years","45-54","Male","M",3353,21569084,15.5
"2013","2013","55-64 years","55-64","Female","F",594,20359676,2.9
"2013","2013","55-64 years","55-64","Male","M",3215,18956755,17
"2013","2013","65-74 years","65-74","Female","F",289,13419124,2.2
"2013","2013","65-74 years","65-74","Male","M",2267,11797642,19.2
"2013","2013","75-84 years","75-84","Female","F",119,7686002,1.5
"2013","2013","75-84 years","75-84","Male","M",1640,5760517,28.5
"2013","2013","85+ years","85+","Female","F",39,3999007,1
"2013","2013","85+ years","85+","Male","M",759,2041782,37.2
"2013","2013","Not Stated","NS","Male","M",3,"Not Applicable","Not Applicable"
"2014","2014","5-14 years","5-14","Female","F",38,20161424,0.2
"2014","2014","5-14 years","5-14","Male","M",136,21029648,0.6
"2014","2014","15-24 years","15-24","Female","F",263,21456371,1.2
"2014","2014","15-24 years","15-24","Male","M",2017,22523450,9
"2014","2014","25-34 years","25-34","Female","F",394,21546290,1.8
"2014","2014","25-34 years","25-34","Male","M",2440,21970214,11.1
"2014","2014","35-44 years","35-44","Female","F",493,20353904,2.4
"2014","2014","35-44 years","35-44","Male","M",2346,20159229,11.6
"2014","2014","45-54 years","45-54","Female","F",771,22033807,3.5
"2014","2014","45-54 years","45-54","Male","M",3189,21425044,14.9
"2014","2014","55-64 years","55-64","Female","F",587,20755699,2.8
"2014","2014","55-64 years","55-64","Male","M",3335,19321882,17.3
"2014","2014","65-74 years","65-74","Female","F",289,14049245,2.1
"2014","2014","65-74 years","65-74","Male","M",2427,12349045,19.7
"2014","2014","75-84 years","75-84","Female","F",130,7789312,1.7
"2014","2014","75-84 years","75-84","Male","M",1650,5893378,28
"2014","2014","85+ years","85+","Female","F",37,4053362,0.9
