"Year","Year Code","State","State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Deaths","Population","Crude Rate"
"1999","1999","Alabama","01","15-24 years","15-24",177,633971,27.9
"1999","1999","Alabama","01","25-34 years","25-34",137,608323,22.5
"1999","1999","Alabama","01","35-44 years","35-44",161,686932,23.4
"1999","1999","Alabama","01","45-54 years","45-54",102,585651,17.4
"1999","1999","Alabama","01","55-64 years","55-64",79,410542,19.2
"1999","1999","Alabama","01","65-74 years","65-74",59,315928,18.7
"1999","1999","Alabama","01","75-84 years","75-84",45,194773,23.1
"1999","1999","Alabama","01","85+ years","85+",11,65953,0
"1999","1999","Alaska","02","15-24 years","15-24",24,89183,26.9
"1999","1999","Alaska","02","25-34 years","25-34",18,90016,0
"1999","1999","Alaska","02","35-44 years","35-44",17,116881,0
"1999","1999","Arizona","04","15-24 years","15-24",166,710747,23.4
"1999","1999","Arizona","04","25-34 years","25-34",176,738538,23.8
"1999","1999","Arizona","04","35-44 years","35-44",135,761436,17.7
"1999","1999","Arizona","04","45-54 years","45-54",97,604767,16
"1999","1999","Arizona","04","55-64 years","55-64",77,427747,18
"1999","1999","Arizona","04","65-74 years","65-74",46,362714,12.7
"1999","1999","Arizona","04","75-84 years","75-84",73,231098,31.6
"1999","1999","Arizona","04","85+ years","85+",14,66200,0
"1999","1999","Arkansas","05","15-24 years","15-24",80,379744,21.1
"1999","1999","Arkansas","05","25-34 years","25-34",71,351295,20.2
"1999","1999","Arkansas","05","35-44 years","35-44",73,394882,18.5
"1999","1999","Arkansas","05","45-54 years","45-54",43,340043,12.6
"1999","1999","Arkansas","05","55-64 years","55-64",34,251017,13.5
"1999","1999","Arkansas","05","65-74 years","65-74",28,197936,14.1
"1999","1999","Arkansas","05","75-84 years","75-84",29,128798,22.5
"1999","1999","Arkansas","05","85+ years","85+",11,45862,0
"1999","1999","California","06","5-14 years","5-14",41,5246778,0.8
"1999","1999","California","06","15-24 years","15-24",797,4706286,16.9
"1999","1999","California","06","25-34 years","25-34",567,5278543,10.7
"1999","1999","California","06","35-44 years","35-44",469,5462186,8.6
"1999","1999","California","06","45-54 years","45-54",387,4189310,9.2
"1999","1999","California","06","55-64 years","55-64",212,2543047,8.3
"1999","1999","California","06","65-74 years","65-74",206,1888004,10.9
