"State","State Code","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Deaths","Population","Crude Rate"
"Alabama","01","15-19 years","15-19","1999","1999",72,327789,22
"Alabama","01","15-19 years","15-19","2000","2000",43,324580,13.2
"Alabama","01","15-19 years","15-19","2001","2001",52,321866,16.2
"Alabama","01","15-19 years","15-19","2002","2002",57,320749,17.8
"Alabama","01","15-19 years","15-19","2003","2003",52,321655,16.2
"Alabama","01","15-19 years","15-19","2004","2004",44,325095,13.5
"Alabama","01","15-19 years","15-19","2005","2005",51,330753,15.4
"Alabama","01","15-19 years","15-19","2006","2006",53,337003,15.7
"Alabama","01","15-19 years","15-19","2007","2007",55,341279,16.1
"Alabama","01","15-19 years","15-19","2008","2008",55,345580,15.9
"Alabama","01","15-19 years","15-19","2009","2009",39,346611,11.3
"Alabama","01","15-19 years","15-19","2010","2010",54,343471,15.7
"Alabama","01","15-19 years","15-19","2011","2011",56,333831,16.8
"Alabama","01","15-19 years","15-19","2012","2012",52,323731,16.1
"Alabama","01","15-19 years","15-19","2013","2013",42,320850,13.1
"Alabama","01","15-19 years","15-19","2014","2014",40,317852,12.6
"Alabama","01","15-19 years","15-19","2015","2015",57,319561,17.8
"Alabama","01","15-19 years","15-19","2016","2016",78,320546,24.3
"Alabama","01","20-24 years","20-24","1999","1999",105,306182,34.3
"Alabama","01","20-24 years","20-24","2000","2000",100,306865,32.6
"Alabama","01","20-24 years","20-24","2001","2001",88,318741,27.6
"Alabama","01","20-24 years","20-24","2002","2002",86,322812,26.6
"Alabama","01","20-24 years","20-24","2003","2003",111,326983,33.9
"Alabama","01","20-24 years","20-24","2004","2004",88,326749,26.9
"Alabama","01","20-24 years","20-24","2005","2005",89,326727,27.2
"Alabama","01","20-24 years","20-24","2006","2006",117,326239,35.9
"Alabama","01","20-24 years","20-24","2007","2007",120,327293,36.7
"Alabama","01","20-24 years","20-24","2008","2008",107,328751,32.5
"Alabama","01","20-24 years","20-24","2009","2009",95,332117,28.6
"Alabama","01","20-24 years","20-24","2010","2010",86,335322,25.6
