"Year","Year Code","State","State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Gender","Ethnicity","ICD Sub-Chapter","ICD Sub-Chapter Code","Race","Race Code","Deaths","Population","Crude Rate"
"1999","1999","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",25,857683,2.9
"1999","1999","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,888887,"Unreliable"
"1999","1999","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,557247,"Unreliable"
"2000","2000","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,885918,"Unreliable"
"2000","2000","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",17,902833,"Unreliable"
"2000","2000","California","06","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",17,725998,"Unreliable"
"2000","2000","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",16,569296,"Unreliable"
"2000","2000","Texas","48","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,447929,"Unreliable"
"2001","2001","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",24,909771,2.6
"2001","2001","California","06","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",17,759234,"Unreliable"
"2001","2001","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",17,590558,"Unreliable"
"2001","2001","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,563820,"Unreliable"
"2002","2002","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",18,929759,"Unreliable"
"2002","2002","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",18,937784,"Unreliable"
"2002","2002","California","06","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,783472,"Unreliable"
"2002","2002","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,607589,"Unreliable"
"2002","2002","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",18,581866,"Unreliable"
"2002","2002","Texas","48","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,485138,"Unreliable"
"2003","2003","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",24,951922,2.5
"2003","2003","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,948735,"Unreliable"
"2003","2003","California","06","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",16,808875,"Unreliable"
"2003","2003","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",20,624781,3.2
"2003","2003","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,596277,"Unreliable"
"2003","2003","Texas","48","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",11,501695,"Unreliable"
"2004","2004","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",23,973505,2.4
"2004","2004","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",16,956773,"Unreliable"
"2004","2004","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,639383,"Unreliable"
"2005","2005","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,996736,"Unreliable"
"2005","2005","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",20,961479,2.1
"2005","2005","California","06","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",18,852196,"Unreliable"
"2005","2005","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,653380,"Unreliable"
"2005","2005","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,625940,"Unreliable"
"2006","2006","Arizona","04","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,135610,"Unreliable"
"2006","2006","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",23,1020178,2.3
"2006","2006","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",22,966001,2.3
"2006","2006","California","06","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,869614,"Unreliable"
"2006","2006","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",11,669100,"Unreliable"
"2006","2006","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",16,643622,"Unreliable"
"2006","2006","Texas","48","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,557611,"Unreliable"
"2007","2007","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",25,1042534,2.4
"2007","2007","California","06","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",24,971365,2.5
"2007","2007","California","06","35-44 years","35-44","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,882832,"Unreliable"
"2007","2007","Texas","48","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,686409,"Unreliable"
"2007","2007","Texas","48","25-34 years","25-34","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,661593,"Unreliable"
"2008","2008","Arizona","04","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",15,144560,"Unreliable"
"2008","2008","California","06","15-24 years","15-24","Female","Hispanic or Latino","Assault","X85-Y09","White","2106-3",23,1067954,2.2
