"Year","Year Code","State","State Code","ICD Sub-Chapter","ICD Sub-Chapter Code","Deaths","Population","Crude Rate"
"2000","2000","Alabama","01","Other external causes of accidental injury","W00-X59",20,2281051,0.9
"2000","2000","Alabama","01","Intentional self-harm","X60-X84",313,2281051,13.7
"2000","2000","Alabama","01","Assault","X85-Y09",117,2281051,5.1
"2000","2000","Alaska","02","Intentional self-harm","X60-X84",44,289450,15.2
"2000","2000","Arizona","04","Intentional self-harm","X60-X84",338,2506919,13.5
"2000","2000","Arizona","04","Assault","X85-Y09",98,2506919,3.9
"2000","2000","Arkansas","05","Intentional self-harm","X60-X84",164,1378448,11.9
"2000","2000","Arkansas","05","Assault","X85-Y09",54,1378448,3.9
"2000","2000","California","06","Other external causes of accidental injury","W00-X59",25,16026727,0.2
"2000","2000","California","06","Intentional self-harm","X60-X84",1125,16026727,7
"2000","2000","California","06","Assault","X85-Y09",396,16026727,2.5
"2000","2000","Colorado","08","Intentional self-harm","X60-X84",242,2106328,11.5
"2000","2000","Colorado","08","Assault","X85-Y09",33,2106328,1.6
"2000","2000","Connecticut","09","Intentional self-harm","X60-X84",88,1840652,4.8
"2000","2000","Connecticut","09","Assault","X85-Y09",15,1840652,"Unreliable"
"2000","2000","Delaware","10","Intentional self-harm","X60-X84",30,404845,7.4
"2000","2000","District of Columbia","11","Assault","X85-Y09",26,282668,9.2
"2000","2000","Florida","12","Intentional self-harm","X60-X84",943,8921336,10.6
"2000","2000","Florida","12","Assault","X85-Y09",213,8921336,2.4
"2000","2000","Georgia","13","Other external causes of accidental injury","W00-X59",17,3880231,"Unreliable"
"2000","2000","Georgia","13","Intentional self-harm","X60-X84",406,3880231,10.5
"2000","2000","Georgia","13","Assault","X85-Y09",166,3880231,4.3
"2000","2000","Hawaii","15","Intentional self-harm","X60-X84",26,629718,4.1
"2000","2000","Idaho","16","Intentional self-harm","X60-X84",75,616661,12.2
"2000","2000","Illinois","17","Intentional self-harm","X60-X84",292,6151270,4.7
"2000","2000","Illinois","17","Assault","X85-Y09",148,6151270,2.4
"2000","2000","Indiana","18","Other external causes of accidental injury","W00-X59",12,3060243,"Unreliable"
"2000","2000","Indiana","18","Intentional self-harm","X60-X84",270,3060243,8.8
"2000","2000","Indiana","18","Assault","X85-Y09",59,3060243,1.9
"2000","2000","Iowa","19","Intentional self-harm","X60-X84",104,1531618,6.8
"2000","2000","Iowa","19","Assault","X85-Y09",16,1531618,"Unreliable"
"2000","2000","Kansas","20","Intentional self-harm","X60-X84",138,1350980,10.2
"2000","2000","Kansas","20","Assault","X85-Y09",36,1350980,2.7
"2000","2000","Kentucky","21","Other external causes of accidental injury","W00-X59",13,2076985,"Unreliable"
"2000","2000","Kentucky","21","Intentional self-harm","X60-X84",258,2076985,12.4
"2000","2000","Kentucky","21","Assault","X85-Y09",69,2076985,3.3
"2000","2000","Louisiana","22","Other external causes of accidental injury","W00-X59",15,2174214,"Unreliable"
"2000","2000","Louisiana","22","Intentional self-harm","X60-X84",210,2174214,9.7
"2000","2000","Louisiana","22","Assault","X85-Y09",121,2174214,5.6
"2000","2000","Maine","23","Intentional self-harm","X60-X84",73,712165,10.3
"2000","2000","Maryland","24","Intentional self-harm","X60-X84",169,2740871,6.2
"2000","2000","Maryland","24","Assault","X85-Y09",90,2740871,3.3
