"Year","Year Code","State","State Code","ICD Sub-Chapter","ICD Sub-Chapter Code","Deaths","Population","Crude Rate"
"2000","2000","Alabama","01","Other external causes of accidental injury","W00-X59",14,2166049,"Unreliable"
"2000","2000","Alabama","01","Intentional self-harm","X60-X84",114,2166049,5.3
"2000","2000","Alabama","01","Assault","X85-Y09",177,2166049,8.2
"2000","2000","Alaska","02","Intentional self-harm","X60-X84",52,337482,15.4
"2000","2000","Alaska","02","Assault","X85-Y09",11,337482,"Unreliable"
"2000","2000","Arizona","04","Intentional self-harm","X60-X84",151,2623713,5.8
"2000","2000","Arizona","04","Assault","X85-Y09",174,2623713,6.6
"2000","2000","Arkansas","05","Other external causes of accidental injury","W00-X59",11,1294952,"Unreliable"
"2000","2000","Arkansas","05","Intentional self-harm","X60-X84",80,1294952,6.2
"2000","2000","Arkansas","05","Assault","X85-Y09",86,1294952,6.6
"2000","2000","California","06","Other external causes of accidental injury","W00-X59",41,17844921,0.2
"2000","2000","California","06","Intentional self-harm","X60-X84",361,17844921,2
"2000","2000","California","06","Assault","X85-Y09",1086,17844921,6.1
"2000","2000","Colorado","08","Intentional self-harm","X60-X84",108,2194933,4.9
"2000","2000","Colorado","08","Assault","X85-Y09",51,2194933,2.3
"2000","2000","Connecticut","09","Intentional self-harm","X60-X84",25,1564913,1.6
"2000","2000","Connecticut","09","Assault","X85-Y09",46,1564913,2.9
"2000","2000","Delaware","10","Intentional self-harm","X60-X84",10,378755,"Unreliable"
"2000","2000","District of Columbia","11","Assault","X85-Y09",110,289391,38
"2000","2000","Florida","12","Intentional self-harm","X60-X84",242,7061042,3.4
"2000","2000","Florida","12","Assault","X85-Y09",252,7061042,3.6
"2000","2000","Georgia","13","Other external causes of accidental injury","W00-X59",22,4306222,0.5
"2000","2000","Georgia","13","Intentional self-harm","X60-X84",182,4306222,4.2
"2000","2000","Georgia","13","Assault","X85-Y09",275,4306222,6.4
"2000","2000","Hawaii","15","Intentional self-harm","X60-X84",11,581819,"Unreliable"
"2000","2000","Idaho","16","Intentional self-harm","X60-X84",32,677292,4.7
"2000","2000","Illinois","17","Intentional self-harm","X60-X84",139,6268023,2.2
"2000","2000","Illinois","17","Assault","X85-Y09",526,6268023,8.4
"2000","2000","Indiana","18","Other external causes of accidental injury","W00-X59",11,3020242,"Unreliable"
"2000","2000","Indiana","18","Intentional self-harm","X60-X84",141,3020242,4.7
"2000","2000","Indiana","18","Assault","X85-Y09",158,3020242,5.2
"2000","2000","Iowa","19","Intentional self-harm","X60-X84",53,1394706,3.8
"2000","2000","Kansas","20","Intentional self-harm","X60-X84",48,1337438,3.6
"2000","2000","Kansas","20","Assault","X85-Y09",65,1337438,4.9
"2000","2000","Kentucky","21","Other external causes of accidental injury","W00-X59",18,1964784,"Unreliable"
"2000","2000","Kentucky","21","Intentional self-harm","X60-X84",115,1964784,5.9
"2000","2000","Kentucky","21","Assault","X85-Y09",64,1964784,3.3
"2000","2000","Louisiana","22","Other external causes of accidental injury","W00-X59",15,2294762,"Unreliable"
"2000","2000","Louisiana","22","Intentional self-harm","X60-X84",116,2294762,5.1
"2000","2000","Louisiana","22","Assault","X85-Y09",306,2294762,13.3
"2000","2000","Maine","23","Intentional self-harm","X60-X84",25,562758,4.4
"2000","2000","Maryland","24","Intentional self-harm","X60-X84",76,2555615,3
"2000","2000","Maryland","24","Assault","X85-Y09",263,2555615,10.3
"2000","2000","Massachusetts","25","Intentional self-harm","X60-X84",35,3006180,1.2
"2000","2000","Massachusetts","25","Assault","X85-Y09",53,3006180,1.8
"2000","2000","Michigan","26","Intentional self-harm","X60-X84",155,4890075,3.2
"2000","2000","Michigan","26","Assault","X85-Y09",351,4890075,7.2
"2000","2000","Minnesota","27","Intentional self-harm","X60-X84",75,2430466,3.1
"2000","2000","Minnesota","27","Assault","X85-Y09",48,2430466,2
"2000","2000","Mississippi","28","Other external causes of accidental injury","W00-X59",18,1467959,"Unreliable"
"2000","2000","Mississippi","28","Intentional self-harm","X60-X84",87,1467959,5.9
"2000","2000","Mississippi","28","Assault","X85-Y09",126,1467959,8.6
"2000","2000","Missouri","29","Other external causes of accidental injury","W00-X59",11,2702403,"Unreliable"
"2000","2000","Missouri","29","Intentional self-harm","X60-X84",120,2702403,4.4
"2000","2000","Missouri","29","Assault","X85-Y09",191,2702403,7.1
"2000","2000","Montana","30","Intentional self-harm","X60-X84",36,419098,8.6
"2000","2000","Montana","30","Assault","X85-Y09",10,419098,"Unreliable"
"2000","2000","Nebraska","31","Intentional self-harm","X60-X84",35,847940,4.1
"2000","2000","Nebraska","31","Assault","X85-Y09",26,847940,3.1
"2000","2000","Nevada","32","Intentional self-harm","X60-X84",70,998118,7
"2000","2000","Nevada","32","Assault","X85-Y09",58,998118,5.8
"2000","2000","New Hampshire","33","Intentional self-harm","X60-X84",15,572992,"Unreliable"
"2000","2000","New Jersey","34","Intentional self-harm","X60-X84",29,3953226,0.7
"2000","2000","New Jersey","34","Assault","X85-Y09",140,3953226,3.5
"2000","2000","New Mexico","35","Intentional self-harm","X60-X84",69,920241,7.5
"2000","2000","New Mexico","35","Assault","X85-Y09",69,920241,7.5
"2000","2000","New York","36","Intentional self-harm","X60-X84",146,9212884,1.6
"2000","2000","New York","36","Assault","X85-Y09",440,9212884,4.8
"2000","2000","North Carolina","37","Other external causes of accidental injury","W00-X59",15,3984283,"Unreliable"
"2000","2000","North Carolina","37","Intentional self-harm","X60-X84",189,3984283,4.7
"2000","2000","North Carolina","37","Assault","X85-Y09",295,3984283,7.4
