"Year","Year Code","State","State Code","County","County Code","Deaths","Population","Crude Rate"
"1999","1999","Alabama","01","Baldwin County, AL","01003",22,137555,16
"1999","1999","Alabama","01","Calhoun County, AL","01015",29,114910,25.2
"1999","1999","Alabama","01","Chambers County, AL","01017",10,36527,"Unreliable"
"1999","1999","Alabama","01","Colbert County, AL","01033",14,54715,"Unreliable"
"1999","1999","Alabama","01","Dallas County, AL","01047",10,46722,"Unreliable"
"1999","1999","Alabama","01","DeKalb County, AL","01049",15,63593,"Unreliable"
"1999","1999","Alabama","01","Etowah County, AL","01055",23,104002,22.1
"1999","1999","Alabama","01","Jackson County, AL","01071",10,53433,"Unreliable"
"1999","1999","Alabama","01","Jefferson County, AL","01073",147,662845,22.2
"1999","1999","Alabama","01","Lauderdale County, AL","01077",13,87590,"Unreliable"
"1999","1999","Alabama","01","Lee County, AL","01081",16,112898,"Unreliable"
"1999","1999","Alabama","01","Limestone County, AL","01083",12,64880,"Unreliable"
"1999","1999","Alabama","01","Madison County, AL","01089",27,274692,9.8
"1999","1999","Alabama","01","Marshall County, AL","01095",21,81992,25.6
"1999","1999","Alabama","01","Mobile County, AL","01097",80,399323,20
"1999","1999","Alabama","01","Montgomery County, AL","01101",51,223548,22.8
"1999","1999","Alabama","01","Morgan County, AL","01103",14,110670,"Unreliable"
"1999","1999","Alabama","01","Shelby County, AL","01117",20,140502,14.2
"1999","1999","Alabama","01","Tallapoosa County, AL","01123",11,41649,"Unreliable"
"1999","1999","Alabama","01","Tuscaloosa County, AL","01125",28,164411,17
"1999","1999","Alabama","01","Walker County, AL","01127",21,70784,29.7
"1999","1999","Alaska","02","Anchorage Borough, AK","02020",25,259348,9.6
"1999","1999","Alaska","02","Fairbanks North Star Borough, AK","02090",13,83390,"Unreliable"
"1999","1999","Arizona","04","Cochise County, AZ","04003",17,116530,"Unreliable"
"1999","1999","Arizona","04","Coconino County, AZ","04005",18,115307,"Unreliable"
"1999","1999","Arizona","04","Gila County, AZ","04007",10,50990,"Unreliable"
"1999","1999","Arizona","04","Maricopa County, AZ","04013",462,3004985,15.4
"1999","1999","Arizona","04","Mohave County, AZ","04015",36,150351,23.9
"1999","1999","Arizona","04","Pima County, AZ","04019",140,828905,16.9
"1999","1999","Arizona","04","Pinal County, AZ","04021",22,173364,12.7
"1999","1999","Arizona","04","Yavapai County, AZ","04025",43,162943,26.4
"1999","1999","Arizona","04","Yuma County, AZ","04027",16,155665,"Unreliable"
"1999","1999","Arkansas","05","Benton County, AR","05007",20,148636,13.5
"1999","1999","Arkansas","05","Crittenden County, AR","05035",11,50530,"Unreliable"
"1999","1999","Arkansas","05","Garland County, AR","05051",18,87177,"Unreliable"
"1999","1999","Arkansas","05","Jefferson County, AR","05069",17,84178,"Unreliable"
"1999","1999","Arkansas","05","Pulaski County, AR","05119",65,360312,18
"1999","1999","Arkansas","05","Washington County, AR","05143",12,154627,"Unreliable"
"1999","1999","California","06","Alameda County, CA","06001",116,1427114,8.1
"1999","1999","California","06","Butte County, CA","06007",18,201282,"Unreliable"
"1999","1999","California","06","Contra Costa County, CA","06013",96,936983,10.2
"1999","1999","California","06","El Dorado County, CA","06017",16,154381,"Unreliable"
"1999","1999","California","06","Fresno County, CA","06019",65,789405,8.2
"1999","1999","California","06","Humboldt County, CA","06023",16,126676,"Unreliable"
"1999","1999","California","06","Kern County, CA","06029",66,655428,10.1
"1999","1999","California","06","Los Angeles County, CA","06037",1063,9437290,11.3
"1999","1999","California","06","Madera County, CA","06039",11,121883,"Unreliable"
"1999","1999","California","06","Mendocino County, CA","06045",13,85665,"Unreliable"
"1999","1999","California","06","Merced County, CA","06047",22,206734,10.6
"1999","1999","California","06","Monterey County, CA","06053",33,396267,8.3
