"Year","Year Code","State","State Code","County","County Code","Deaths","Population","Crude Rate"
"1999","1999","Alabama","01","Baldwin County, AL","01003",15,76547,"Unreliable"
"1999","1999","Alabama","01","Calhoun County, AL","01015",20,60418,33.1
"1999","1999","Alabama","01","Etowah County, AL","01055",18,56430,"Unreliable"
"1999","1999","Alabama","01","Jefferson County, AL","01073",77,340608,22.6
"1999","1999","Alabama","01","Lauderdale County, AL","01077",13,46929,"Unreliable"
"1999","1999","Alabama","01","Limestone County, AL","01083",10,33177,"Unreliable"
"1999","1999","Alabama","01","Madison County, AL","01089",13,139523,"Unreliable"
"1999","1999","Alabama","01","Marshall County, AL","01095",14,43521,"Unreliable"
"1999","1999","Alabama","01","Mobile County, AL","01097",35,195258,17.9
"1999","1999","Alabama","01","Montgomery County, AL","01101",25,106510,23.5
"1999","1999","Alabama","01","Morgan County, AL","01103",12,57978,"Unreliable"
"1999","1999","Alabama","01","Tuscaloosa County, AL","01125",17,75557,"Unreliable"
"1999","1999","Alabama","01","Walker County, AL","01127",17,38494,"Unreliable"
"1999","1999","Alaska","02","Denali Borough, AK","02068",0,0,"Missing"
"1999","1999","Alaska","02","Hoonah-Angoon Census Area, AK","02105",0,0,"Missing"
"1999","1999","Alaska","02","Petersburg Borough/Census Area, AK","02195",0,0,"Missing"
"1999","1999","Alaska","02","Prince of Wales-Hyder Census Area, AK","02198",0,0,"Missing"
"1999","1999","Alaska","02","Skagway Municipality, AK","02230",0,0,"Missing"
"1999","1999","Alaska","02","Wrangell City and Borough, AK","02275",0,0,"Missing"
"1999","1999","Arizona","04","Cochise County, AZ","04003",13,60859,"Unreliable"
"1999","1999","Arizona","04","Coconino County, AZ","04005",13,48823,"Unreliable"
"1999","1999","Arizona","04","Maricopa County, AZ","04013",213,1414088,15.1
"1999","1999","Arizona","04","Mohave County, AZ","04015",27,90974,29.7
"1999","1999","Arizona","04","Pima County, AZ","04019",87,421729,20.6
"1999","1999","Arizona","04","Pinal County, AZ","04021",15,91645,"Unreliable"
"1999","1999","Arizona","04","Yavapai County, AZ","04025",37,101973,36.3
"1999","1999","Arizona","04","Yuma County, AZ","04027",12,75299,"Unreliable"
"1999","1999","Arkansas","05","Benton County, AR","05007",10,75249,"Unreliable"
"1999","1999","Arkansas","05","Jefferson County, AR","05069",13,41667,"Unreliable"
"1999","1999","Arkansas","05","Pulaski County, AR","05119",31,178340,17.4
"1999","1999","California","06","Alameda County, CA","06001",50,697593,7.2
"1999","1999","California","06","Butte County, CA","06007",15,102383,"Unreliable"
"1999","1999","California","06","Contra Costa County, CA","06013",48,488873,9.8
"1999","1999","California","06","El Dorado County, CA","06017",13,87455,"Unreliable"
"1999","1999","California","06","Fresno County, CA","06019",41,336716,12.2
"1999","1999","California","06","Humboldt County, CA","06023",10,65146,"Unreliable"
"1999","1999","California","06","Kern County, CA","06029",33,284885,11.6
"1999","1999","California","06","Los Angeles County, CA","06037",421,4224055,10
"1999","1999","California","06","Merced County, CA","06047",10,85759,"Unreliable"
"1999","1999","California","06","Monterey County, CA","06053",14,176387,"Unreliable"
"1999","1999","California","06","Orange County, CA","06059",96,1320590,7.3
"1999","1999","California","06","Placer County, CA","06061",11,131367,"Unreliable"
"1999","1999","California","06","Riverside County, CA","06065",81,709449,11.4
"1999","1999","California","06","Sacramento County, CA","06067",65,578631,11.2
"1999","1999","California","06","San Bernardino County, CA","06071",103,721658,14.3
"1999","1999","California","06","San Diego County, CA","06073",127,1307029,9.7
"1999","1999","California","06","San Francisco County, CA","06075",26,410853,6.3
"1999","1999","California","06","San Joaquin County, CA","06077",24,251120,9.6
