"Year","Year Code","State","State Code","County","County Code","Deaths","Population","Crude Rate"
"1999","1999","Alabama","01","Jefferson County, AL","01073",70,313468,22.3
"1999","1999","Alabama","01","Madison County, AL","01089",14,131512,"Unreliable"
"1999","1999","Alabama","01","Mobile County, AL","01097",45,198140,22.7
"1999","1999","Alabama","01","Montgomery County, AL","01101",26,113835,22.8
"1999","1999","Alabama","01","Shelby County, AL","01117",12,69056,"Unreliable"
"1999","1999","Alabama","01","Tuscaloosa County, AL","01125",11,86730,"Unreliable"
"1999","1999","Alaska","02","Anchorage Borough, AK","02020",16,136880,"Unreliable"
"1999","1999","Alaska","02","Denali Borough, AK","02068",0,0,0
"1999","1999","Alaska","02","Hoonah-Angoon Census Area, AK","02105",0,0,0
"1999","1999","Alaska","02","Petersburg Borough/Census Area, AK","02195",0,0,0
"1999","1999","Alaska","02","Prince of Wales-Hyder Census Area, AK","02198",0,0,0
"1999","1999","Alaska","02","Skagway Municipality, AK","02230",0,0,0
"1999","1999","Alaska","02","Wrangell City and Borough, AK","02275",0,0,0
"1999","1999","Arizona","04","Maricopa County, AZ","04013",248,1541877,16.1
"1999","1999","Arizona","04","Pima County, AZ","04019",52,395587,13.1
"1999","1999","Arkansas","05","Benton County, AR","05007",10,71183,"Unreliable"
"1999","1999","Arkansas","05","Garland County, AR","05051",10,33741,"Unreliable"
"1999","1999","Arkansas","05","Pulaski County, AR","05119",34,176726,19.2
"1999","1999","California","06","Alameda County, CA","06001",66,710185,9.3
"1999","1999","California","06","Contra Costa County, CA","06013",48,435574,11
"1999","1999","California","06","Fresno County, CA","06019",24,439421,5.5
"1999","1999","California","06","Kern County, CA","06029",33,359523,9.2
"1999","1999","California","06","Los Angeles County, CA","06037",641,5068326,12.6
"1999","1999","California","06","Merced County, CA","06047",12,117408,"Unreliable"
"1999","1999","California","06","Monterey County, CA","06053",19,213647,"Unreliable"
"1999","1999","California","06","Orange County, CA","06059",68,1452776,4.7
"1999","1999","California","06","Riverside County, CA","06065",63,775661,8.1
"1999","1999","California","06","Sacramento County, CA","06067",53,610985,8.7
"1999","1999","California","06","San Bernardino County, CA","06071",88,932707,9.4
"1999","1999","California","06","San Diego County, CA","06073",66,1443168,4.6
"1999","1999","California","06","San Francisco County, CA","06075",24,356851,6.7
"1999","1999","California","06","San Joaquin County, CA","06077",33,292886,11.3
"1999","1999","California","06","San Mateo County, CA","06081",11,321692,"Unreliable"
"1999","1999","California","06","Santa Clara County, CA","06085",28,847244,3.3
"1999","1999","California","06","Solano County, CA","06095",14,196785,"Unreliable"
"1999","1999","California","06","Sonoma County, CA","06097",11,204672,"Unreliable"
"1999","1999","California","06","Stanislaus County, CA","06099",20,233477,8.6
"1999","1999","California","06","Tulare County, CA","06107",20,205620,9.7
