"State","State Code","Gender","Gender Code","Year","Year Code","Deaths","Population","Crude Rate"
"Alabama","01","Female","F","1999","1999",155,2293259,6.8
"Alabama","01","Female","F","2000","2000",133,2300596,5.8
"Alabama","01","Female","F","2001","2001",128,2309496,5.5
"Alabama","01","Female","F","2002","2002",112,2314370,4.8
"Alabama","01","Female","F","2003","2003",131,2324069,5.6
"Alabama","01","Female","F","2004","2004",115,2337857,4.9
"Alabama","01","Female","F","2005","2005",120,2356423,5.1
"Alabama","01","Female","F","2006","2006",120,2385480,5
"Alabama","01","Female","F","2007","2007",142,2407275,5.9
"Alabama","01","Female","F","2008","2008",131,2430257,5.4
"Alabama","01","Female","F","2009","2009",149,2448159,6.1
"Alabama","01","Female","F","2010","2010",126,2459548,5.1
"Alabama","01","Female","F","2011","2011",135,2473249,5.5
"Alabama","01","Female","F","2012","2012",131,2483466,5.3
"Alabama","01","Female","F","2013","2013",137,2488375,5.5
"Alabama","01","Female","F","2014","2014",137,2499410,5.5
"Alabama","01","Female","F","2015","2015",163,2505795,6.5
"Alabama","01","Female","F","2016","2016",174,2507714,6.9
"Alabama","01","Male","M","1999","1999",624,2136882,29.2
"Alabama","01","Male","M","2000","2000",622,2146504,29
"Alabama","01","Male","M","2001","2001",602,2158138,27.9
"Alabama","01","Male","M","2002","2002",606,2165719,28
"Alabama","01","Male","M","2003","2003",628,2179422,28.8
"Alabama","01","Male","M","2004","2004",553,2192872,25.2
"Alabama","01","Male","M","2005","2005",605,2213382,27.3
"Alabama","01","Male","M","2006","2006",650,2243501,29
"Alabama","01","Male","M","2007","2007",656,2265565,29
"Alabama","01","Male","M","2008","2008",674,2287949,29.5
"Alabama","01","Male","M","2009","2009",675,2309779,29.2
"Alabama","01","Male","M","2010","2010",646,2320188,27.8
"Alabama","01","Male","M","2011","2011",634,2329491,27.2
"Alabama","01","Male","M","2012","2012",689,2338557,29.5
"Alabama","01","Male","M","2013","2013",709,2345347,30.2
"Alabama","01","Male","M","2014","2014",663,2349967,28.2
"Alabama","01","Male","M","2015","2015",776,2353184,33
"Alabama","01","Male","M","2016","2016",851,2355586,36.1
"Alaska","02","Female","F","1999","1999",16,301266,"Unreliable"
"Alaska","02","Female","F","2000","2000",16,302820,"Unreliable"
"Alaska","02","Female","F","2001","2001",14,305579,"Unreliable"
