Deaths,Gender,Population,State,Year,DeathRate
155,Female,2293259,Alabama,1999,6.758940006340321
133,Female,2300596,Alabama,2000,5.781110633940075
128,Female,2309496,Alabama,2001,5.542334777804335
112,Female,2314370,Alabama,2002,4.839329925638511
131,Female,2324069,Alabama,2003,5.6366656927999985
115,Female,2337857,Alabama,2004,4.919034825483338
120,Female,2356423,Alabama,2005,5.092464298642476
120,Female,2385480,Alabama,2006,5.030434126465114
142,Female,2407275,Alabama,2007,5.898785971689981
131,Female,2430257,Alabama,2008,5.3903764087501855
149,Female,2448159,Alabama,2009,6.086206002142835
126,Female,2459548,Alabama,2010,5.12289249894696
135,Female,2473249,Alabama,2011,5.458407139758269
131,Female,2483466,Alabama,2012,5.274885985956724
137,Female,2488375,Alabama,2013,5.505601044858592
137,Female,2499410,Alabama,2014,5.481293585286127
163,Female,2505795,Alabama,2015,6.504921591750323
174,Female,2507714,Alabama,2016,6.938590285814093
624,Male,2136882,Alabama,1999,29.20142525417875
622,Male,2146504,Alabama,2000,28.977351078777396
602,Male,2158138,Alabama,2001,27.89441639042545
606,Male,2165719,Alabama,2002,27.981469433476825
628,Male,2179422,Alabama,2003,28.814979384442296
553,Male,2192872,Alabama,2004,25.218070183759018
605,Male,2213382,Alabama,2005,27.333736336520314
650,Male,2243501,Alabama,2006,28.972574560920634
656,Male,2265565,Alabama,2007,28.955249573505945
674,Male,2287949,Alabama,2008,29.458698598613864
675,Male,2309779,Alabama,2009,29.223575069303166
646,Male,2320188,Alabama,2010,27.842571377836624
634,Male,2329491,Alabama,2011,27.21624595244197
689,Male,2338557,Alabama,2012,29.46261305582887
709,Male,2345347,Alabama,2013,30.23006830119381
663,Male,2349967,Alabama,2014,28.21316214227689
776,Male,2353184,Alabama,2015,32.97659681520867
851,Male,2355586,Alabama,2016,36.12689156753351
16,Female,301266,Alaska,1999,5.310921245676578
16,Female,302820,Alaska,2000,5.283666864804174
14,Female,305579,Alaska,2001,4.581466658376393
33,Female,309633,Alaska,2002,10.657778725135886
18,Female,313034,Alaska,2003,5.750174102493658
14,Female,317807,Alaska,2004,4.405189313010727
18,Female,320920,Alaska,2005,5.608874485853172
14,Female,325121,Alaska,2006,4.306089117590067
11,Female,327138,Alaska,2007,3.3624953383587357
17,Female,329412,Alaska,2008,5.160710599492429
15,Female,337002,Alaska,2009,4.451012160165222
27,Female,340603,Alaska,2010,7.927117494561116
22,Female,347526,Alaska,2011,6.330461605750361
15,Female,350211,Alaska,2012,4.283132168892467
23,Female,349564,Alaska,2013,6.579624904166333
20,Female,349436,Alaska,2014,5.723508739797846
34,Female,349407,Alaska,2015,9.730772422990952
34,Female,353762,Alaska,2016,9.610981394270725
69,Male,323513,Alaska,1999,21.328354656536213
98,Male,324112,Alaska,2000,30.2364614701091
77,Male,328135,Alaska,2001,23.465951513858627
86,Male,332704,Alaska,2002,25.848802539193997
96,Male,335380,Alaska,2003,28.62424712266683
100,Male,341479,Alaska,2004,29.284377663048094
95,Male,346026,Alaska,2005,27.45458433759313
97,Male,350181,Alaska,2006,27.699960877374842
108,Male,353162,Alaska,2007,30.58086657114865
119,Male,358043,Alaska,2008,33.236231402373456
81,Male,361893,Alaska,2009,22.382306372325523
112,Male,369628,Alaska,2010,30.300734792818723
97,Male,375192,Alaska,2011,25.85342971065481
106,Male,381238,Alaska,2012,27.80415383566171
118,Male,385568,Alaska,2013,30.604199518632253
119,Male,387296,Alaska,2014,30.725853094274147
136,Male,389025,Alaska,2015,34.95919285392969
129,Male,388132,Alaska,2016,33.236115548318615
131,Female,2518299,Arizona,1999,5.2019239971107485
109,Female,2569575,Arizona,2000,4.241946625414709
117,Female,2641676,Arizona,2001,4.429006433794303
132,Female,2704217,Arizona,2002,4.881265075990573
121,Female,2764077,Arizona,2003,4.3775915070383355
108,Female,2835606,Arizona,2004,3.808709672641404
108,Female,2930811,Arizona,2005,3.6849868517621918
139,Female,3026134,Arizona,2006,4.5933193969599495
112,Female,3096998,Arizona,2007,3.616405306041528
149,Female,3155278,Arizona,2008,4.722246344062235
157,Female,3189908,Arizona,2009,4.92177203856663
130,Female,3216194,Arizona,2010,4.042044727401394
128,Female,3258634,Arizona,2011,3.9280262834058686
151,Female,3294772,Arizona,2012,4.583018187601448
143,Female,3331505,Arizona,2013,4.2923543563644655
153,Female,3387637,Arizona,2014,4.516422509259404
165,Female,3436575,Arizona,2015,4.801291984024792
180,Female,3488176,Arizona,2016,5.160290077106201
665,Male,2505524,Arizona,1999,26.541354223707295
668,Male,2561057,Arizona,2000,26.0829805818457
699,Male,2631801,Arizona,2001,26.55975888754507
807,Male,2692038,Arizona,2002,29.977288582107683
701,Male,2746287,Arizona,2003,25.52537298541631
757,Male,2816798,Arizona,2004,26.874486562401703
798,Male,2908266,Arizona,2005,27.439030680137236
820,Male,3003007,Arizona,2006,27.305963655762376
808,Male,3070683,Arizona,2007,26.3133641603513
735,Male,3125084,Arizona,2008,23.51936779939355
683,Male,3153246,Arizona,2009,21.660219342227027
773,Male,3175823,Arizona,2010,24.34014742005458
812,Male,3223871,Arizona,2011,25.18711201533808
771,Male,3258483,Arizona,2012,23.661317244865174
770,Male,3295119,Arizona,2013,23.367896576724544
750,Male,3343847,Arizona,2014,22.429255884016225
781,Male,3391490,Arizona,2015,23.028226531701403
886,Male,3442895,Arizona,2016,25.734156865080116
61,Female,1359445,Arkansas,1999,4.487125260676232
68,Female,1368707,Arkansas,2000,4.968192608060016
65,Female,1376845,Arkansas,2001,4.720938086712739
63,Female,1383239,Arkansas,2002,4.554527453317901
52,Female,1391523,Arkansas,2003,3.73691272081022
57,Female,1403048,Arkansas,2004,4.062583746243892
86,Female,1418295,Arkansas,2005,6.063618640691817
52,Female,1438428,Arkansas,2006,3.615057548935366
68,Female,1451358,Arkansas,2007,4.685267177360789
71,Female,1464220,Arkansas,2008,4.848998101378208
60,Female,1475013,Arkansas,2009,4.0677607587187365
65,Female,1484281,Arkansas,2010,4.379224688586595
75,Female,1495200,Arkansas,2011,5.016051364365971
70,Female,1500641,Arkansas,2012,4.664673296278057
73,Female,1505782,Arkansas,2013,4.84797932237203
91,Female,1509053,Arkansas,2014,6.030271965265634
100,Female,1515348,Arkansas,2015,6.599144222977164
100,Female,1520375,Arkansas,2016,6.57732467318918
315,Male,1292415,Arkansas,1999,24.372976172514246
335,Male,1304693,Arkansas,2000,25.676538465370783
338,Male,1314726,Arkansas,2001,25.708778863428577
362,Male,1322688,Arkansas,2002,27.368510185319593
347,Male,1333293,Arkansas,2003,26.025787280065224
332,Male,1346638,Arkansas,2004,24.65399015919646
344,Male,1362802,Arkansas,2005,25.242111473273447
362,Male,1383333,Arkansas,2006,26.168681004501448
350,Male,1397292,Arkansas,2007,25.048450860664772
366,Male,1410334,Arkansas,2008,25.9512994794141
396,Male,1421830,Arkansas,2009,27.85143090242856
347,Male,1431637,Arkansas,2010,24.237987702189873
380,Male,1442779,Arkansas,2011,26.338060090977205
413,Male,1448490,Arkansas,2012,28.51245089714116
416,Male,1453591,Arkansas,2013,28.61877928523223
400,Male,1457316,Arkansas,2014,27.447718957316052
414,Male,1462856,Arkansas,2015,28.300803360002625
424,Male,1467873,Arkansas,2016,28.885332722926304
396,Female,16800161,California,1999,2.357120268073621
391,Female,16996756,California,2000,2.3004389778849563
386,Female,17294223,California,2001,2.2319591923846476
401,Female,17498462,California,2002,2.291629972965624
368,Female,17709509,California,2003,2.0779796887649455
358,Female,17871415,California,2004,2.0031989632606035
348,Female,17996230,California,2005,1.9337383440865112
362,Female,18097471,California,2006,2.000279486564725
375,Female,18214926,California,2007,2.0587511582534015
347,Female,18396972,California,2008,1.886179964833343
328,Female,18583075,California,2009,1.7650469580518833
352,Female,18736126,California,2010,1.8787234885162494
358,Female,18943585,California,2011,1.8898218051123905
342,Female,19122866,California,2012,1.7884348507174603
351,Female,19268325,California,2013,1.8216425143337578
335,Female,19533596,California,2014,1.7149940031523128
