"State","State Code","Place of Death","Place of Death Code","Year","Year Code","Deaths","Population","Crude Rate"
"Alabama","01","Medical Facility - Inpatient","1","1999","1999",62,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2000","2000",65,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2001","2001",75,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2002","2002",66,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2003","2003",65,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2004","2004",39,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2005","2005",61,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2006","2006",64,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2007","2007",67,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2008","2008",68,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2009","2009",52,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2010","2010",64,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2011","2011",59,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2012","2012",47,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2013","2013",55,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2014","2014",55,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2015","2015",66,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Inpatient","1","2016","2016",202,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","1999","1999",103,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2000","2000",104,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2001","2001",86,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2002","2002",109,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2003","2003",106,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2004","2004",102,"Not Applicable","Not Applicable"
"Alabama","01","Medical Facility - Outpatient or ER","2","2005","2005",93,"Not Applicable","Not Applicable"
