"State","State Code","2013 Urbanization","2013 Urbanization Code","Year","Year Code","Place of Death","Place of Death Code","Deaths","Population","Crude Rate"
"Alabama","01","Large Central Metro","1","1999","1999","Decedent's home","4",55,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2000","2000","Decedent's home","4",66,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2001","2001","Decedent's home","4",40,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2002","2002","Decedent's home","4",41,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2003","2003","Decedent's home","4",59,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2004","2004","Decedent's home","4",44,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2005","2005","Decedent's home","4",44,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2006","2006","Decedent's home","4",41,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2007","2007","Decedent's home","4",33,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2008","2008","Decedent's home","4",67,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2009","2009","Decedent's home","4",62,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2010","2010","Decedent's home","4",41,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2011","2011","Decedent's home","4",51,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2012","2012","Decedent's home","4",45,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2013","2013","Decedent's home","4",49,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2014","2014","Decedent's home","4",46,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2015","2015","Decedent's home","4",66,"Not Applicable","Not Applicable"
"Alabama","01","Large Central Metro","1","2016","2016","Decedent's home","4",53,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","1999","1999","Decedent's home","4",43,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2000","2000","Decedent's home","4",42,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2001","2001","Decedent's home","4",35,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2002","2002","Decedent's home","4",32,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2003","2003","Decedent's home","4",38,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2004","2004","Decedent's home","4",30,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2005","2005","Decedent's home","4",23,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2006","2006","Decedent's home","4",42,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2007","2007","Decedent's home","4",37,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2008","2008","Decedent's home","4",29,"Not Applicable","Not Applicable"
"Alabama","01","Large Fringe Metro","2","2009","2009","Decedent's home","4",36,"Not Applicable","Not Applicable"
