"State","State Code","ICD Sub-Chapter","ICD Sub-Chapter Code","Year","Year Code","Deaths","Population","Crude Rate"
"Alabama","01","Other external causes of accidental injury","W00-X59","1999","1999",51,4430141,1.2
"Alabama","01","Other external causes of accidental injury","W00-X59","2000","2000",34,4447100,0.8
"Alabama","01","Other external causes of accidental injury","W00-X59","2001","2001",41,4467634,0.9
"Alabama","01","Other external causes of accidental injury","W00-X59","2002","2002",45,4480089,1
"Alabama","01","Other external causes of accidental injury","W00-X59","2003","2003",38,4503491,0.8
"Alabama","01","Other external causes of accidental injury","W00-X59","2004","2004",31,4530729,0.7
"Alabama","01","Other external causes of accidental injury","W00-X59","2005","2005",37,4569805,0.8
"Alabama","01","Other external causes of accidental injury","W00-X59","2006","2006",37,4628981,0.8
"Alabama","01","Other external causes of accidental injury","W00-X59","2007","2007",24,4672840,0.5
"Alabama","01","Other external causes of accidental injury","W00-X59","2008","2008",32,4718206,0.7
"Alabama","01","Other external causes of accidental injury","W00-X59","2009","2009",28,4757938,0.6
"Alabama","01","Other external causes of accidental injury","W00-X59","2010","2010",35,4779736,0.7
"Alabama","01","Other external causes of accidental injury","W00-X59","2011","2011",25,4802740,0.5
"Alabama","01","Other external causes of accidental injury","W00-X59","2012","2012",14,4822023,"Unreliable"
"Alabama","01","Other external causes of accidental injury","W00-X59","2013","2013",25,4833722,0.5
"Alabama","01","Other external causes of accidental injury","W00-X59","2014","2014",29,4849377,0.6
"Alabama","01","Other external causes of accidental injury","W00-X59","2015","2015",20,4858979,0.4
"Alabama","01","Other external causes of accidental injury","W00-X59","2016","2016",21,4863300,0.4
"Alabama","01","Intentional self-harm","X60-X84","1999","1999",435,4430141,9.8
"Alabama","01","Intentional self-harm","X60-X84","2000","2000",427,4447100,9.6
"Alabama","01","Intentional self-harm","X60-X84","2001","2001",387,4467634,8.7
"Alabama","01","Intentional self-harm","X60-X84","2002","2002",381,4480089,8.5
"Alabama","01","Intentional self-harm","X60-X84","2003","2003",399,4503491,8.9
"Alabama","01","Intentional self-harm","X60-X84","2004","2004",375,4530729,8.3
"Alabama","01","Intentional self-harm","X60-X84","2005","2005",369,4569805,8.1
"Alabama","01","Intentional self-harm","X60-X84","2006","2006",400,4628981,8.6
"Alabama","01","Intentional self-harm","X60-X84","2007","2007",396,4672840,8.5
"Alabama","01","Intentional self-harm","X60-X84","2008","2008",424,4718206,9
"Alabama","01","Intentional self-harm","X60-X84","2009","2009",479,4757938,10.1
"Alabama","01","Intentional self-harm","X60-X84","2010","2010",454,4779736,9.5
"Alabama","01","Intentional self-harm","X60-X84","2011","2011",452,4802740,9.4
"Alabama","01","Intentional self-harm","X60-X84","2012","2012",500,4822023,10.4
"Alabama","01","Intentional self-harm","X60-X84","2013","2013",504,4833722,10.4
"Alabama","01","Intentional self-harm","X60-X84","2014","2014",479,4849377,9.9
"Alabama","01","Intentional self-harm","X60-X84","2015","2015",528,4858979,10.9
"Alabama","01","Intentional self-harm","X60-X84","2016","2016",550,4863300,11.3
"Alabama","01","Assault","X85-Y09","1999","1999",293,4430141,6.6
"Alabama","01","Assault","X85-Y09","2000","2000",294,4447100,6.6
"Alabama","01","Assault","X85-Y09","2001","2001",302,4467634,6.8
"Alabama","01","Assault","X85-Y09","2002","2002",292,4480089,6.5
"Alabama","01","Assault","X85-Y09","2003","2003",322,4503491,7.2
"Alabama","01","Assault","X85-Y09","2004","2004",262,4530729,5.8
"Alabama","01","Assault","X85-Y09","2005","2005",319,4569805,7
"Alabama","01","Assault","X85-Y09","2006","2006",333,4628981,7.2
"Alabama","01","Assault","X85-Y09","2007","2007",378,4672840,8.1
"Alabama","01","Assault","X85-Y09","2008","2008",349,4718206,7.4
"Alabama","01","Assault","X85-Y09","2009","2009",317,4757938,6.7
"Alabama","01","Assault","X85-Y09","2010","2010",283,4779736,5.9
"Alabama","01","Assault","X85-Y09","2011","2011",292,4802740,6.1
"Alabama","01","Assault","X85-Y09","2012","2012",306,4822023,6.3
"Alabama","01","Assault","X85-Y09","2013","2013",317,4833722,6.6
"Alabama","01","Assault","X85-Y09","2014","2014",292,4849377,6
"Alabama","01","Assault","X85-Y09","2015","2015",391,4858979,8
"Alabama","01","Assault","X85-Y09","2016","2016",454,4863300,9.3
"Alaska","02","Intentional self-harm","X60-X84","1999","1999",55,624779,8.8
"Alaska","02","Intentional self-harm","X60-X84","2000","2000",96,626932,15.3
"Alaska","02","Intentional self-harm","X60-X84","2001","2001",65,633714,10.3
"Alaska","02","Intentional self-harm","X60-X84","2002","2002",92,642337,14.3
"Alaska","02","Intentional self-harm","X60-X84","2003","2003",79,648414,12.2
"Alaska","02","Intentional self-harm","X60-X84","2004","2004",94,659286,14.3
"Alaska","02","Intentional self-harm","X60-X84","2005","2005",87,666946,13
"Alaska","02","Intentional self-harm","X60-X84","2006","2006",79,675302,11.7
"Alaska","02","Intentional self-harm","X60-X84","2007","2007",94,680300,13.8
"Alaska","02","Intentional self-harm","X60-X84","2008","2008",116,687455,16.9
"Alaska","02","Intentional self-harm","X60-X84","2009","2009",79,698895,11.3
"Alaska","02","Intentional self-harm","X60-X84","2010","2010",107,710231,15.1
"Alaska","02","Intentional self-harm","X60-X84","2011","2011",99,722718,13.7
"Alaska","02","Intentional self-harm","X60-X84","2012","2012",98,731449,13.4
"Alaska","02","Intentional self-harm","X60-X84","2013","2013",120,735132,16.3
"Alaska","02","Intentional self-harm","X60-X84","2014","2014",115,736732,15.6
"Alaska","02","Intentional self-harm","X60-X84","2015","2015",123,738432,16.7
"Alaska","02","Intentional self-harm","X60-X84","2016","2016",113,741894,15.2
"Alaska","02","Assault","X85-Y09","1999","1999",27,624779,4.3
"Alaska","02","Assault","X85-Y09","2000","2000",16,626932,"Unreliable"
"Alaska","02","Assault","X85-Y09","2001","2001",25,633714,3.9
"Alaska","02","Assault","X85-Y09","2002","2002",26,642337,4
"Alaska","02","Assault","X85-Y09","2003","2003",32,648414,4.9
"Alaska","02","Assault","X85-Y09","2004","2004",20,659286,3
"Alaska","02","Assault","X85-Y09","2005","2005",24,666946,3.6
"Alaska","02","Assault","X85-Y09","2006","2006",28,675302,4.1
"Alaska","02","Assault","X85-Y09","2007","2007",25,680300,3.7
"Alaska","02","Assault","X85-Y09","2008","2008",15,687455,"Unreliable"
"Alaska","02","Assault","X85-Y09","2009","2009",17,698895,"Unreliable"
"Alaska","02","Assault","X85-Y09","2010","2010",30,710231,4.2
"Alaska","02","Assault","X85-Y09","2011","2011",19,722718,"Unreliable"
"Alaska","02","Assault","X85-Y09","2012","2012",17,731449,"Unreliable"
"Alaska","02","Assault","X85-Y09","2013","2013",19,735132,"Unreliable"
"Alaska","02","Assault","X85-Y09","2014","2014",21,736732,2.9
"Alaska","02","Assault","X85-Y09","2015","2015",42,738432,5.7
"Alaska","02","Assault","X85-Y09","2016","2016",45,741894,6.1
"Arizona","04","Other external causes of accidental injury","W00-X59","1999","1999",17,5023823,"Unreliable"
