"Year","Year Code","Deaths","Population","Crude Rate"
"1999","1999",28251,279040168,10.1
"2000","2000",28163,281421906,10
"2001","2001",29019,284968955,10.2
"2002","2002",29699,287625193,10.3
"2003","2003",29557,290107933,10.2
"2004","2004",29023,292805298,9.9
"2005","2005",30143,295516599,10.2
"2006","2006",30316,298379912,10.2
"2007","2007",30597,301231207,10.2
"2008","2008",30994,304093966,10.2
"2009","2009",30782,306771529,10
"2010","2010",31076,308745538,10.1
"2011","2011",31649,311591917,10.2
"2012","2012",32836,313914040,10.5
"2013","2013",32887,316128839,10.4
"2014","2014",32855,318857056,10.3
"2015","2015",35481,321418820,11
"2016","2016",37848,323127513,11.7
,,561176,5435746389,10.3
