Year,Age,Total,Male,Female,Gender_unknown,White,Black,Race_Other,Race_Unknown,Hispanic,Not_Hispanic,Hispanic_Unknown
2016,Total,"16,964","10,310","1,295","5,359","5,004","6,095",291,"5,574","1,533","5,566","5,447"
2016,Percent distribution3,100,60.8,7.6,31.6,29.5,35.9,1.7,32.9,12.2,44.4,43.4
2016,Under 184 ,736,681,55,0,254,452,24,6,112,337,68
2016,Under 224,"2,905","2,632",270,3,"1,002","1,798",68,37,456,"1,364",295
2016,18 and over4,"10,180","8,938","1,216",26,"4,653","5,124",263,140,"1,364","4,993","1,089"
2016,Infant (under 1),0,0,0,0,0,0,0,0,0,0,0
2016,1 to 4,0,0,0,0,0,0,0,0,0,0,0
2016,5 to 8,0,0,0,0,0,0,0,0,0,0,0
2016,9 to 12,10,10,0,0,3,7,0,0,0,6,1
2016,13 to 16,374,343,31,0,130,228,14,2,56,174,39
2016,17 to 19,"1,413","1,289",122,2,478,882,35,18,213,680,131
2016,20 to 24,"2,593","2,288",301,4,913,"1,587",55,38,387,"1,251",280
2016,25 to 29,"1,941","1,726",212,3,808,"1,070",39,24,285,944,209
2016,30 to 34,"1,339","1,156",176,7,649,627,45,18,182,609,151
2016,35 to 39,931,805,124,2,490,402,24,15,126,483,90
2016,40 to 44,643,555,88,0,359,258,19,7,96,320,70
2016,45 to 49,509,432,75,2,294,195,16,4,56,249,49
2016,50 to 54,440,381,58,1,277,146,11,6,41,229,47
2016,55 to 59,276,234,42,0,185,80,10,1,17,141,32
2016,60 to 64,190,173,16,1,124,55,9,2,6,104,22
2016,65 to 69,114,101,13,0,77,24,7,6,7,65,14
2016,70 to 74,51,46,5,0,39,10,2,0,0,28,7
2016,75 and over,92,80,8,4,81,5,1,5,4,47,15
2016,Unknown,"6,048",691,24,"5,333",97,519,4,"5,428",57,236,"4,290"
2015,Total ,"15,326","9,553","1,180","4,593","4,636","5,620",283,"4,787","1,312","4,598","4,408"
2015,Percent distribution3,100,62.3,7.7,30,30.2,36.7,1.8,31.2,12.7,44.6,42.7
2015,Under 184 ,667,616,51,0,236,412,14,5,104,269,91
2015,Under 224,"2,648","2,403",239,6,916,"1,638",69,25,404,"1,108",322
2015,18 and over4,"9,456","8,327","1,109",20,"4,324","4,755",268,109,"1,183","4,125","1,169"
2015,Infant (under 1),0,0,0,0,0,0,0,0,0,0,0
2015,1 to 4,1,1,0,0,0,1,0,0,0,0,0
