"Year","Year Code","2013 Urbanization","2013 Urbanization Code","Ten-Year Age Groups","Ten-Year Age Groups Code","ICD Sub-Chapter","ICD Sub-Chapter Code","Deaths","Population","Crude Rate"
"1999","1999","Large Central Metro","1","1-4 years","1-4","Assault","X85-Y09",20,4938747,0.4
"1999","1999","Large Central Metro","1","5-14 years","5-14","Intentional self-harm","X60-X84",12,12500870,"Unreliable"
"1999","1999","Large Central Metro","1","5-14 years","5-14","Assault","X85-Y09",111,12500870,0.9
"1999","1999","Large Central Metro","1","15-24 years","15-24","Other external causes of accidental injury","W00-X59",56,12037966,0.5
"1999","1999","Large Central Metro","1","15-24 years","15-24","Intentional self-harm","X60-X84",574,12037966,4.8
"1999","1999","Large Central Metro","1","15-24 years","15-24","Assault","X85-Y09",2360,12037966,19.6
"1999","1999","Large Central Metro","1","25-34 years","25-34","Other external causes of accidental injury","W00-X59",23,14068448,0.2
"1999","1999","Large Central Metro","1","25-34 years","25-34","Intentional self-harm","X60-X84",681,14068448,4.8
"1999","1999","Large Central Metro","1","25-34 years","25-34","Assault","X85-Y09",1644,14068448,11.7
"1999","1999","Large Central Metro","1","35-44 years","35-44","Other external causes of accidental injury","W00-X59",24,13944535,0.2
"1999","1999","Large Central Metro","1","35-44 years","35-44","Intentional self-harm","X60-X84",678,13944535,4.9
"1999","1999","Large Central Metro","1","35-44 years","35-44","Assault","X85-Y09",814,13944535,5.8
"1999","1999","Large Central Metro","1","45-54 years","45-54","Other external causes of accidental injury","W00-X59",11,10756904,"Unreliable"
"1999","1999","Large Central Metro","1","45-54 years","45-54","Intentional self-harm","X60-X84",684,10756904,6.4
"1999","1999","Large Central Metro","1","45-54 years","45-54","Assault","X85-Y09",374,10756904,3.5
"1999","1999","Large Central Metro","1","55-64 years","55-64","Intentional self-harm","X60-X84",426,6717045,6.3
"1999","1999","Large Central Metro","1","55-64 years","55-64","Assault","X85-Y09",129,6717045,1.9
"1999","1999","Large Central Metro","1","65-74 years","65-74","Intentional self-harm","X60-X84",407,5088277,8
"1999","1999","Large Central Metro","1","65-74 years","65-74","Assault","X85-Y09",56,5088277,1.1
"1999","1999","Large Central Metro","1","75-84 years","75-84","Intentional self-harm","X60-X84",402,3419721,11.8
"1999","1999","Large Central Metro","1","75-84 years","75-84","Assault","X85-Y09",37,3419721,1.1
"1999","1999","Large Central Metro","1","85+ years","85+","Intentional self-harm","X60-X84",117,1163280,10.1
"1999","1999","Large Fringe Metro","2","1-4 years","1-4","Assault","X85-Y09",13,3677422,"Unreliable"
"1999","1999","Large Fringe Metro","2","5-14 years","5-14","Intentional self-harm","X60-X84",20,9824529,0.2
"1999","1999","Large Fringe Metro","2","5-14 years","5-14","Assault","X85-Y09",40,9824529,0.4
"1999","1999","Large Fringe Metro","2","15-24 years","15-24","Other external causes of accidental injury","W00-X59",33,8206305,0.4
"1999","1999","Large Fringe Metro","2","15-24 years","15-24","Intentional self-harm","X60-X84",434,8206305,5.3
"1999","1999","Large Fringe Metro","2","15-24 years","15-24","Assault","X85-Y09",550,8206305,6.7
"1999","1999","Large Fringe Metro","2","25-34 years","25-34","Other external causes of accidental injury","W00-X59",22,9337825,0.2
"1999","1999","Large Fringe Metro","2","25-34 years","25-34","Intentional self-harm","X60-X84",567,9337825,6.1
"1999","1999","Large Fringe Metro","2","25-34 years","25-34","Assault","X85-Y09",473,9337825,5.1
