,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
1,Texas church mass shooting,"Sutherland Springs, TX",11/5/2017,Church,Close,random,unknown,26,20,46,0,26,,,No,White,M,,
2,Walmart shooting in suburban Denver,"Thornton, CO",11/1/2017,Wal-Mart,Open,random,unknown,3,0,3,0,47,,,No,White,M,,
3,Edgewood businees park shooting,"Edgewood, MD",10/18/2017,Remodeling Store,Close,coworkers,unknown,3,3,6,0,37,,Advance Granite Store,No,Black,M,,
4,Las Vegas Strip mass shooting,"Las Vegas, NV",10/1/2017,Las Vegas Strip Concert outside Mandala Bay,Open,random,unknown,59,527,585,1,64,,,Unclear,White,M,36.181271,-115.134132
5,San Francisco UPS shooting,"San Francisco, CA",6/14/2017,UPS facility,Close,coworkers,,3,2,5,0,38,1,,Yes,Asian,M,,
6,Pennsylvania supermarket shooting,"Tunkhannock, PA",6/7/2017,Weis grocery,Close,coworkers,terrorism,3,0,3,,24,1,Weis grocery,Unclear,White,M,,
7,Florida awning manufacturer shooting,"Orlando, Florida",6/5/2017,manufacturer Fiamma Inc.,Close,coworkers,unemployement,5,0,5,,45,1,manufacturer Fiamma Inc.,Unclear,,M,,
8,Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/2017,a nursing home,Close,coworkers,,3,0,3,1,43,1,some nursing home,Yes,White,M,,
9,Fresno downtown shooting,"Fresno, California",4/18/2017,a street in downtown,Open,random,racism,3,0,3,,39,,,Unclear,Black,M,,
10,Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",1/6/2017,baggage claim area of the airport,Close,random,terrorism,5,6,11,,26,,,Yes,Latino,M,,
11,Cascade Mall shooting,"Burlington, WA",9/23/2016,cosmetics section of a Macys department store,Close,women,terrorism,5,0,5,,20,,,Yes,,M,,
12,Baton Rouge police shooting,"Baton Rouge, LA",7/17/2016,,Open,police,,3,3,6,3,,,former Marine,Yes,Black,M,,
13,Dallas police shooting,"Dallas, Texas",7/7/2016,at protest,Open,police,racism,5,11,16,5,25,,Army veteran,Unclear,Black,M,,
14,Orlando nightclub massacre,"Orlando, Florida",6/12/2016,at nightclub,Close,random,,49,53,102,0,29,,,Unclear,Other,M,,
15,"Ferguson, MO Drive by","Ferguson, Missouri",4/29/2016,,Open,random,,0,4,4,0,0,,,Unknown,Unknown,Unknown,38.744217,-90.305391
16,"Forestville, Maryland Drive-by",,4/26/2016,in street,Open,,,1,4,5,0,,,,Unknown,Unknown,Unknown,38.845113,-76.874972
17,"Halifax County, VA",,4/24/2016,crown,Open,random,,0,6,6,0,,,,Unknown,Black American or African American,Male,36.765971,-78.928344
18,Tire-Slashing revenge escalation,,4/21/2016,block party,Open,random,frustration,0,4,4,0,,,,Unknown,Black American or African American,Male,39.290385,-76.612189
19,Chicago Rap video Shootout,,4/19/2016,in a park,Open,random,,1,4,5,0,,,,Unknown,Unknown,Unknown,41.878114,-87.629798
20,Texas family murder-suicide,,4/19/2016,Home,Close,Family,domestic dispute,4,0,4,0,,,,Unknown,White American or European American,Male,29.785785,-95.824396
21,Alabama highway random shooting,,4/19/2016,along a highway ,Open,random,,1,4,4,0,,,,Yes,White American or European American,Male,34.16204,-86.475543
22,Long Beach Street murder,,4/18/2016,at street corner,Open,random,terrorism,0,3,4,0,,,,Unknown,Unknown,Unknown,33.77005,-118.193739
23,"Albuquerque, NM House party shooting",,4/9/2016,at party,Close,uninvited guests,anger,0,4,4,0,,,,Unknown,White American or European American,Male,35.085334,-106.605553
24,"Memphis, TN gas station shooting",,4/9/2016,at gas station,Open,random,anger,0,4,4,0,,,,Unknown,Unknown,Unknown,35.149534,-90.04898
25,Chicago Birthday Party Bus Shooting,,4/7/2016,south shore,Open,birthday party bus,,0,5,5,0,,,,Unknown,Unknown,Unknown,41.878114,-87.629798
26,"Albuquerque, NM Family restaurant shooting",,4/1/2016,restaurant,Close,Family,,3,1,3,0,,,,Unknown,Asian American,Male,35.085334,-106.605553
27,"Richmond, Virginia","Richmond, Virginia",3/31/2016,bus station,Open,Trooper,frustration,2,2,3,0,,,,Unknown,Black American or African American,Male,37.540725,-77.436048
28,"Louisburg, North Carolina","Louisburg, North Carolina",3/26/2016,,,,terrorism,3,0,3,,,,,Unknown,Black American or African American,Male,36.099039,-78.301106
29,"Lawrenceburg, Tennessee","Lawrenceburg, Tennessee",3/25/2016,in home,Close,Family,domestic dispute,2,2,3,0,,,,Unknown,Unknown,Male,35.242302,-87.334739
30,"Greenhill, AL Family murder-suicide",,3/25/2016,home in rural Alabama,Close,Family,domestic dispute,2,2,3,0,,,,Yes,White American or European American,Male,34.759257,-86.602493
31,"Sherman, Texas Family Murder-Suicide","Sherman, Texas ",3/21/2016,,,Family,domestic dispute,4,0,3,0,,,,Unknown,Unknown,Male,33.635662,-96.60888
32,"Louisville, KY Family Murder-Suicide","Louisville, Kentucky",3/20/2016,Home,Close,Family,domestic dispute,4,0,3,0,,1,Military,Yes,White American or European American,Male,38.252665,-85.758456
33,"Plantation, Florida","Plantation, Florida",3/19/2016,Home,Close,party guests,,1,4,5,0,,,,Unknown,Unknown,Unknown,26.127586,-80.233104
34,Wetumpka Drive-by,"Wetumpka, Alabama",3/19/2016,"drive-by in Wetumpka, Alabama",Open,random,terrorism,2,2,4,0,,,,Unknown,Black American or African American,Male,32.543745,-86.211913
35,Atlanta Nightclub shooting,,3/15/2016,outside nightclub,Open,random,anger,0,4,4,0,,,,Unknown,Unknown,Unknown,33.748995,-84.387982
36,Florida Family celebration ends in shooting,,3/13/2016,,,Family,,0,4,4,0,,,,Unknown,Unknown,Unknown,26.640628,-81.872308
