"id"	"rate"
01001	23
01003	85
01005	14
01007	17
01009	35
01013	15
01015	79
01017	23
01019	14
01021	20
01025	11
01031	23
01033	25
01039	12
01043	39
01045	19
01047	46
01049	31
01051	57
01053	26
01055	43
01057	12
01059	11
01061	11
01065	10
01069	50
01071	34
01073	474
01077	37
01079	13
01081	73
01083	35
01087	19
01089	159
01091	11
01093	14
01095	48
01097	287
01099	12
01101	170
01103	69
01109	17
01111	11
01113	34
01115	37
01117	83
01121	54
01123	18
01125	83
01127	49
01129	10
02020	186
02050	12
02090	66
02110	14
02122	41
02170	58
02180	13
02188	13
02270	13
04001	30
04003	77
04005	50
04007	25
04009	15
04012	21
04013	1644
04015	156
04017	53
04019	419
04021	167
04025	162
04027	68
05003	12
05005	28
05007	72
05009	23
05015	10
05023	15
05027	13
05029	12
05031	57
05033	26
05035	32
05037	10
05043	10
05045	53
05051	67
05055	30
05059	27
05063	16
05069	59
05083	14
05085	34
05089	10
05091	22
05093	38
05103	10
05107	19
05111	15
05113	10
05115	36
05119	266
05123	12
05125	43
05131	45
05135	10
05139	22
05143	69
05145	31
05149	11
06001	405
06005	19
06007	77
06009	29
06013	304
06015	16
06017	68
06019	251
06021	14
06023	78
06025	16
06029	316
06031	36
06033	47
06035	13
06037	2183
06039	33
06041	52
06043	13
06045	32
06047	76
06053	176
06055	24
06057	47
06059	430
06061	83
06063	16
06065	460
06067	450
06071	549
06073	574
06075	121
06077	264
06079	69
06081	93
06083	91
06085	225
06087	67
06089	86
06093	29
06095	156
06097	96
06099	125
06101	40
06103	20
06105	15
06107	149
06109	20
06111	170
06113	41
06115	32
08001	161
08005	209
08013	73
08014	21
08015	11
08027	11
08029	20
08031	225
08035	104
08037	12
08039	13
08041	339
08043	23
08045	21
08051	14
08059	171
08067	20
08069	141
08075	10
08077	90
08083	18
08085	14
08089	11
08093	15
08101	90
08117	11
08119	16
08123	90
09001	111
09003	131
09005	32
09007	21
09009	154
09011	36
09013	25
09015	22
10001	54
10003	205
10005	55
11001	300
12001	71
12003	10
12005	100
12009	269
12011	509
12015	78
12017	82
12019	82
12021	81
12023	34
12027	13
12029	10
12031	506
12033	143
12035	37
12039	16
12041	16
12043	12
12045	10
12051	20
12053	76
12055	51
12057	447
12059	10
12061	49
12063	13
12069	116
12071	289
12073	77
12075	22
12081	162
12083	164
12085	49
12086	869
