"Census Region","Census Region Code","State","State Code","ICD-10 113 Cause List","ICD-10 113 Cause List Code","Year","Year Code","Deaths","Population","Crude Rate"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","1999","1999",21,917417,2.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2000","2000",25,925702,2.7
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2001","2001",17,934730,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2002","2002",29,940829,3.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2003","2003",21,944098,2.2
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2004","2004",16,943246,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2005","2005",21,939226,2.2
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2006","2006",19,935104,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2007","2007",14,930555,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2008","2008",10,926767,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2009","2009",18,921458,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2010","2010",15,915776,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2011","2011",17,907160,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2012","2012",17,901680,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2013","2013",16,893049,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2014","2014",15,881696,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2015","2015",15,869474,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Malignant neoplasms (C00-C97)","GR113-019","2016","2016",22,857498,2.6
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)","GR113-037","1999","1999",11,917417,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)","GR113-037","2002","2002",12,940829,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)","GR113-037","2003","2003",12,944098,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)","GR113-037","2005","2005",11,939226,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)","GR113-043","2016","2016",10,857498,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","1999","1999",22,917417,2.4
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2000","2000",18,925702,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2001","2001",19,934730,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2002","2002",20,940829,2.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2003","2003",20,944098,2.1
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2004","2004",16,943246,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2005","2005",22,939226,2.3
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2006","2006",10,935104,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2007","2007",19,930555,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2008","2008",10,926767,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2009","2009",10,921458,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2010","2010",12,915776,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2011","2011",15,907160,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2012","2012",11,901680,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2013","2013",15,893049,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","Major cardiovascular diseases (I00-I78)","GR113-053","2014","2014",10,881696,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054","1999","1999",17,917417,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054","2000","2000",16,925702,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054","2001","2001",15,934730,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054","2002","2002",12,940829,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054","2003","2003",16,944098,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054","2004","2004",12,943246,"Unreliable"
"Census Region 1: Northeast","CENS-R1","Connecticut","09","#Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054","2005","2005",14,939226,"Unreliable"
