State,Handguns,Long guns
Alabama,Allowed with Restrictions,Allowed
Alaska,Allowed,Allowed
Arizona,Allowed,Allowed
Arkansas,Allowed,Allowed
California,Prohibited,Prohibited
Colorado,Allowed,Allowed
Connecticut,Permit Required,Allowed
Delaware,Allowed,Allowed
Florida,Prohibited,Prohibited
Georgia,Permit Required,Allowed
Hawaii,Permit Required,Allowed
Idaho,Allowed,Allowed
Illinois,Prohibited,Prohibited
Indiana,Permit Required,Allowed
Iowa,Permit Required,Allowed with Restrictions
Kansas,Allowed,Allowed
Kentucky,Allowed,Allowed
Louisiana,Allowed,Allowed
Maine,Allowed,Allowed
Maryland,Permit Required,Allowed
Massachusetts,Allowed,Prohibited
Michigan,Allowed,Allowed
Minnesota,Allowed,Prohibited
Mississippi,Allowed,Allowed
Missouri,Permit Required,Allowed
Montana,Allowed,Allowed
Nebraska,Allowed,Allowed
Nevada,Allowed,Allowed
New Hampshire,Allowed,Allowed
New Jersey,Permit Required,Prohibited
New Mexico,Allowed,Allowed
New York,Prohibited,Allowed
North Carolina,Allowed,Allowed
North Dakota,Allowed with Restrictions,Allowed
Ohio,Allowed,Allowed
Oklahoma,Permit Required,Allowed
Oregon,Allowed,Allowed
Pennsylvania,Allowed with Restrictions,Allowed with Restrictions
Rhode Island,Permit Required,Allowed
South Carolina,Prohibited,Allowed
South Dakota,Allowed,Allowed
Tennessee,Permit Required,Allowed with Restrictions
Texas,Permit Required,Allowed
Utah,Permit Required,Allowed with Restrictions
Vermont,Allowed,Allowed
Virginia,Allowed with Restrictions,Allowed with Restrictions
Washington,Allowed with Restrictions,Allowed
West Virginia,Allowed,Allowed
Wisconsin,Allowed,Allowed
Wyoming,Allowed,Allowed
