"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2001"	"2001"	13	44889	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"1999"	"1999"	22	137555	15.9936
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2000"	"2000"	16	140415	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2001"	"2001"	18	144875	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2002"	"2002"	22	147957	14.8692
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2003"	"2003"	20	151509	13.2005
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2004"	"2004"	15	156266	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2005"	"2005"	11	162183	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2006"	"2006"	24	168121	14.2754
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2007"	"2007"	19	172404	Unreliable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2003"	"2003"	14	53457	Unreliable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2004"	"2004"	11	54124	Unreliable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2007"	"2007"	10	56240	Unreliable
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2004"	"2004"	11	20870	Unreliable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"1999"	"1999"	29	114910	25.2371
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2000"	"2000"	23	112249	20.4902
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2001"	"2001"	23	111266	20.6712
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2002"	"2002"	23	111625	20.6047
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2003"	"2003"	24	112705	21.2945
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2004"	"2004"	22	113462	19.3898
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2005"	"2005"	25	114477	21.8384
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2006"	"2006"	28	115388	24.2660
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2007"	"2007"	24	116211	20.6521
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"1999"	"1999"	10	36527	Unreliable
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2005"	"2005"	11	25031	Unreliable
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2000"	"2000"	10	39593	Unreliable
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2004"	"2004"	10	41534	Unreliable
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2007"	"2007"	10	47458	Unreliable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"1999"	"1999"	14	54715	Unreliable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2000"	"2000"	12	54984	Unreliable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2003"	"2003"	14	54279	Unreliable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2004"	"2004"	14	54380	Unreliable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2005"	"2005"	11	54359	Unreliable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2006"	"2006"	13	54413	Unreliable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2007"	"2007"	12	54486	Unreliable
	"Alabama"	"01"	"Covington County, AL"	"01039"	"2002"	"2002"	10	36901	Unreliable
